HeP0203,Polito,14Hz,4277311,05/10/2016 14:53:56.8094,Calibration Billet D
Date & Time,Pressure (psia),Temperature (C),Pressure (VDC)
05/10/2016 14:54:16.4756,  14.42625711,  30.21523925,   1.22453294
05/10/2016 14:54:16.4766,  14.42746780,  30.21344634,   1.22455227
05/10/2016 14:54:16.4766,  14.42600910,  30.21380179,   1.22452898
05/10/2016 14:54:16.4766,  14.42671312,  30.21465792,   1.22454022
05/10/2016 14:54:16.4766,  14.42984384,  30.21627317,   1.22459020
05/10/2016 14:54:16.4766,  14.42686245,  30.22000476,   1.22454260
05/10/2016 14:54:16.4766,  14.42591843,  30.22040858,   1.22452753
05/10/2016 14:54:16.4766,  14.42770247,  30.21837316,   1.22455601
05/10/2016 14:54:16.4766,  14.42879316,  30.21976267,   1.22457342
05/10/2016 14:54:16.4776,  14.42585443,  30.21885790,   1.22452651
05/10/2016 14:54:16.4776,  14.42567043,  30.21994019,   1.22452357
05/10/2016 14:54:16.4776,  14.42508108,  30.21322019,   1.22451416
05/10/2016 14:54:16.4776,  14.42739046,  30.21583707,   1.22455103
05/10/2016 14:54:16.4776,  14.42489975,  30.21373681,   1.22451127
05/10/2016 14:54:16.4776,  14.42783314,  30.21336528,   1.22455810
05/10/2016 14:54:16.4776,  14.42535309,  30.21249308,   1.22451850
05/10/2016 14:54:16.4776,  14.42710512,  30.20814759,   1.22454648
05/10/2016 14:54:16.4776,  14.42609444,  30.21094240,   1.22453034
05/10/2016 14:54:16.4786,  14.42621444,  30.21005372,   1.22453226
05/10/2016 14:54:16.4786,  14.42577710,  30.20821244,   1.22452527
05/10/2016 14:54:16.4786,  14.42879316,  30.20383481,   1.22457342
05/10/2016 14:54:16.6556,  14.42519042,  30.20651599,   1.22451591
05/10/2016 14:54:17.6556,  14.42595577,  30.20659719,   1.22452813
05/10/2016 14:54:18.6547,  14.42724646,  30.20906830,   1.22454873
05/10/2016 14:54:19.6547,  14.42739846,  30.20632253,   1.22455116
05/10/2016 14:54:20.6548,  14.42365172,  30.20370565,   1.22449134
05/10/2016 14:54:21.6549,  14.42852648,  30.20294612,   1.22456917
05/10/2016 14:54:22.6539,  14.42624111,  30.20452922,   1.22453268
05/10/2016 14:54:23.6540,  14.42774514,  30.20410919,   1.22455669
05/10/2016 14:54:24.6540,  14.42880916,  30.20057120,   1.22457368
05/10/2016 14:54:25.6541,  14.42760913,  30.20187977,   1.22455452
05/10/2016 14:54:26.6541,  14.42576110,  30.20071656,   1.22452502
05/10/2016 14:54:27.6542,  14.42645978,  30.20192841,   1.22453617
05/10/2016 14:54:28.6543,  14.42596910,  30.19947284,   1.22452834
05/10/2016 14:54:29.6533,  14.42629177,  30.20041016,   1.22453349
05/10/2016 14:54:30.6534,  14.42620377,  30.19625827,   1.22453208
05/10/2016 14:54:31.6534,  14.42726246,  30.19638743,   1.22454899
05/10/2016 14:54:32.6535,  14.42689445,  30.19716290,   1.22454311
05/10/2016 14:54:33.6525,  14.42754247,  30.19588634,   1.22455346
05/10/2016 14:54:34.6526,  14.42603044,  30.19407695,   1.22452932
05/10/2016 14:54:35.6527,  14.42601977,  30.19604806,   1.22452915
05/10/2016 14:54:36.6517,  14.42448107,  30.19157314,   1.22450458
05/10/2016 14:54:37.6518,  13.47223276,  30.18580573,   1.20930174
05/10/2016 14:54:38.6518,   8.75560275,  30.17288167,   1.13399974
05/10/2016 14:54:39.6519,   5.65235423,  30.17483684,   1.08445572
05/10/2016 14:54:40.6519,   3.68672839,  30.17456232,   1.05307409
05/10/2016 14:54:41.6520,   2.51812376,  30.17433589,   1.03441707
05/10/2016 14:54:42.6511,   1.85184648,  30.16979613,   1.02377981
05/10/2016 14:54:43.6521,   1.45522524,  30.17045866,   1.01744767
05/10/2016 14:54:44.6512,   1.20024149,  30.17073318,   1.01337680
05/10/2016 14:54:45.6512,   1.02965143,  30.17104013,   1.01065329
05/10/2016 14:54:46.6533,   0.90791567,  30.17055552,   1.00870975
05/10/2016 14:54:47.6513,   0.82002858,  30.16869777,   1.00730662
05/10/2016 14:54:48.6504,   0.75352859,  30.16656521,   1.00624493
05/10/2016 14:54:49.6505,   0.69770081,  30.16514356,   1.00535363
05/10/2016 14:54:50.6505,   0.65780402,  30.17062010,   1.00471667
05/10/2016 14:54:51.6506,   0.62348333,  30.17100784,   1.00416873
05/10/2016 14:54:52.6496,   0.59324806,  30.17110470,   1.00368602
05/10/2016 14:54:53.6497,   0.56756755,  30.17511150,   1.00327602
05/10/2016 14:54:54.6497,   0.54826850,  30.17333439,   1.00296791
05/10/2016 14:54:55.6488,   0.53023347,  30.17632307,   1.00267998
05/10/2016 14:54:56.6489,   0.51473450,  30.17582226,   1.00243253
05/10/2016 14:54:57.6499,   0.50203291,  30.17777675,   1.00222975
05/10/2016 14:54:58.6500,   0.48834464,  30.17611286,   1.00201121
05/10/2016 14:54:59.6490,   0.48079515,  30.17771244,   1.00189068
05/10/2016 14:55:00.6491,   0.46957093,  30.17905303,   1.00171149
05/10/2016 14:55:01.6491,   0.46245079,  30.17470755,   1.00159781
05/10/2016 14:55:02.6492,   0.45579466,  30.17818083,   1.00149155
05/10/2016 14:55:03.6483,   0.44753582,  30.18202577,   1.00135969
05/10/2016 14:55:04.6483,   0.44158371,  30.18160575,   1.00126467
05/10/2016 14:55:05.6484,   0.43537558,  30.17952170,   1.00116555
05/10/2016 14:55:06.6474,   0.43237286,  30.17798710,   1.00111761
05/10/2016 14:55:07.6475,   0.42817544,  30.17979622,   1.00105060
05/10/2016 14:55:08.6465,   0.41945526,  30.17829391,   1.00091138
05/10/2016 14:55:09.6476,   0.41819924,  30.17722770,   1.00089133
05/10/2016 14:55:10.6467,   0.41518318,  30.17840699,   1.00084318
05/10/2016 14:55:11.6477,   0.41217779,  30.17498207,   1.00079519
05/10/2016 14:55:12.6478,   0.40934040,  30.17430374,   1.00074989
05/10/2016 14:55:13.6478,   0.40875372,  30.17432008,   1.00074053
05/10/2016 14:55:14.6469,   0.40426563,  30.17546667,   1.00066887
05/10/2016 14:55:15.6469,   0.40221759,  30.17532131,   1.00063618
05/10/2016 14:55:16.6470,   0.39993221,  30.17648452,   1.00059969
05/10/2016 14:55:17.6471,   0.39810017,  30.18089512,   1.00057044
05/10/2016 14:55:18.6461,   0.39587613,  30.18092700,   1.00053493
05/10/2016 14:55:19.6462,   0.39404409,  30.17905331,   1.00050569
05/10/2016 14:55:20.6462,   0.39587346,  30.17866557,   1.00053489
05/10/2016 14:55:21.6463,   0.39324941,  30.17688833,   1.00049300
05/10/2016 14:55:22.6473,   0.39023068,  30.17860058,   1.00044480
05/10/2016 14:55:23.6454,   0.38839331,  30.17793846,   1.00041547
05/10/2016 14:55:24.6455,   0.38888399,  30.17853642,   1.00042330
05/10/2016 14:55:25.6445,   0.38688128,  30.17955385,   1.00039133
05/10/2016 14:55:26.6456,   0.38743596,  30.18021652,   1.00040019
05/10/2016 14:55:27.6456,   0.38399589,  30.18049131,   1.00034526
05/10/2016 14:55:28.6457,   0.38364388,  30.18637167,   1.00033964
05/10/2016 14:55:29.6447,   0.38341188,  30.18556363,   1.00033594
05/10/2016 14:55:30.6448,   0.38384655,  30.18664605,   1.00034288
05/10/2016 14:55:31.6449,   0.38369722,  30.18662957,   1.00034050
05/10/2016 14:55:32.6439,   0.38142251,  30.18827779,   1.00030418
05/10/2016 14:55:33.6440,   0.37899579,  30.18848746,   1.00026544
05/10/2016 14:55:34.6440,   0.38060916,  30.18688842,   1.00029119
05/10/2016 14:55:35.6431,   0.38019315,  30.18637167,   1.00028455
05/10/2016 14:55:36.6431,   0.37804911,  30.18944100,   1.00025032
05/10/2016 14:55:37.6432,   0.37748109,  30.18989331,   1.00024125
05/10/2016 14:55:38.6433,   0.37859578,  30.19015176,   1.00025905
05/10/2016 14:55:39.6433,   0.37719576,  30.19155707,   1.00023670
05/10/2016 14:55:40.6424,   0.37872379,  30.19272014,   1.00026109
05/10/2016 14:55:41.6424,   0.37656908,  30.19215502,   1.00022669
05/10/2016 14:55:42.6435,   0.37693708,  30.19071715,   1.00023257
05/10/2016 14:55:43.6425,   0.37663841,  30.19293049,   1.00022780
05/10/2016 14:55:44.6426,   0.37639841,  30.19060407,   1.00022397
05/10/2016 14:55:45.6427,   0.37370769,  30.19360883,   1.00018101
05/10/2016 14:55:46.6427,   0.36875825,  30.19520828,   1.00010199
05/10/2016 14:55:47.6428,   0.36928626,  30.19512776,   1.00011042
05/10/2016 14:55:48.6418,   0.36549952,  30.19672666,   1.00004997
05/10/2016 14:55:49.6419,   0.36329681,  30.19892393,   1.00001480
05/10/2016 14:55:50.6419,   0.36416883,  30.19519206,   1.00002872
05/10/2016 14:55:51.6410,   0.36261413,  30.19540187,   1.00000390
05/10/2016 14:55:52.6411,   0.36216879,  30.19541809,   0.99999679
05/10/2016 14:55:53.6411,   0.36160078,  30.19359248,   0.99998772
05/10/2016 14:55:54.6412,   0.36061943,  30.19735677,   0.99997205
05/10/2016 14:55:55.6402,   0.36062476,  30.19561209,   0.99997214
05/10/2016 14:55:56.6403,   0.35732336,  30.19488512,   0.99991943
05/10/2016 14:55:57.6413,   0.35678735,  30.19196102,   0.99991087
05/10/2016 14:55:58.6414,   0.36097410,  30.19520787,   0.99997772
05/10/2016 14:55:59.6405,   0.35776070,  30.19283336,   0.99992641
05/10/2016 14:56:00.6405,   0.35820071,  30.18994154,   0.99993344
05/10/2016 14:56:01.6406,   0.35811804,  30.19181551,   0.99993212
05/10/2016 14:56:02.6386,   0.35681668,  30.18853637,   0.99991134
05/10/2016 14:56:03.6397,   0.35864872,  30.18708243,   0.99994059
05/10/2016 14:56:04.6397,   0.35777937,  30.18666254,   0.99992671
05/10/2016 14:56:05.6398,   0.35956607,  30.18289811,   0.99995524
05/10/2016 14:56:06.6389,   0.35625667,  30.18162196,   0.99990240
05/10/2016 14:56:07.6389,   0.35643001,  30.18210670,   0.99990517
05/10/2016 14:56:08.6390,   0.35836071,  30.17847157,   0.99993599
05/10/2016 14:56:09.6390,   0.35472331,  30.17974813,   0.99987792
05/10/2016 14:56:10.6381,   0.35424863,  30.17475578,   0.99987034
05/10/2016 14:56:11.6381,   0.35399263,  30.17417431,   0.99986626
05/10/2016 14:56:12.6382,   0.35571533,  30.17278508,   0.99989376
05/10/2016 14:56:13.6393,   0.35572599,  30.17331818,   0.99989393
05/10/2016 14:56:14.6383,   0.35585133,  30.17399665,   0.99989593
05/10/2016 14:56:15.6384,   0.35585400,  30.17595128,   0.99989597
05/10/2016 14:56:16.6384,   0.35447530,  30.18168640,   0.99987396
05/10/2016 14:56:17.6375,   0.35457130,  30.17858492,   0.99987549
05/10/2016 14:56:18.6375,   0.35739536,  30.17984472,   0.99992058
05/10/2016 14:56:19.6376,   0.35631267,  30.17729228,   0.99990330
05/10/2016 14:56:20.6377,   0.35386729,  30.17461041,   0.99986425
05/10/2016 14:56:21.6367,   0.35479264,  30.17651681,   0.99987903
05/10/2016 14:56:22.6368,   0.35709402,  30.17462676,   0.99991577
05/10/2016 14:56:23.6368,   0.35572866,  30.17538588,   0.99989397
05/10/2016 14:56:24.6359,   0.35444864,  30.17472376,   0.99987354
05/10/2016 14:56:25.6359,   0.35301661,  30.17341546,   0.99985067
05/10/2016 14:56:26.6360,   0.35299794,  30.16965117,   0.99985038
05/10/2016 14:56:27.6361,   0.35216859,  30.17037787,   0.99983713
05/10/2016 14:56:28.6361,   0.35526198,  30.17134721,   0.99988652
05/10/2016 14:56:29.6352,   0.35556066,  30.17380278,   0.99989129
05/10/2016 14:56:30.6362,   0.35214726,  30.17207432,   0.99983679
05/10/2016 14:56:31.6363,   0.35188858,  30.17239720,   0.99983266
05/10/2016 14:56:32.6353,   0.35365929,  30.17389979,   0.99986093
05/10/2016 14:56:33.6354,   0.35093390,  30.17280102,   0.99981742
05/10/2016 14:56:34.6355,   0.35392596,  30.17304339,   0.99986519
05/10/2016 14:56:35.6355,   0.35214459,  30.17620972,   0.99983675
05/10/2016 14:56:36.6346,   0.35369395,  30.23945182,   0.99986149
05/10/2016 14:56:37.6346,   0.35279260,  30.23788479,   0.99984710
05/10/2016 14:56:38.6347,   0.35365929,  30.24067933,   0.99986093
05/10/2016 14:56:39.6347,   0.35023522,  30.23974228,   0.99980627
05/10/2016 14:56:40.6338,   0.35172591,  30.24006544,   0.99983007
05/10/2016 14:56:41.6339,   0.35135791,  30.23896735,   0.99982419
05/10/2016 14:56:42.6339,   0.35368062,  30.23961326,   0.99986127
05/10/2016 14:56:43.6340,   0.35240859,  30.23856313,   0.99984097
05/10/2016 14:56:44.6340,   0.35253660,  30.23953247,   0.99984301
05/10/2016 14:56:45.6351,   0.35109657,  30.23694788,   0.99982002
05/10/2016 14:56:46.6342,   0.36228079,  30.23824024,   0.99999858
05/10/2016 14:56:47.6332,   0.37638241,  30.23405634,   1.00022371
05/10/2016 14:56:48.6333, 147.36680813,  30.52816445,   3.34695697
05/10/2016 14:56:49.6333, 216.02668328,  30.36079298,   4.44312641
05/10/2016 14:56:50.6334, 215.90938815,  30.28072085,   4.44125376
05/10/2016 14:56:51.6324, 215.83121699,  30.26046644,   4.44000575
05/10/2016 14:56:52.6325, 215.79087912,  30.25733253,   4.43936174
05/10/2016 14:56:53.6326, 215.76770639,  30.25663825,   4.43899179
05/10/2016 14:56:54.6316, 215.71662484,  30.25492586,   4.43817626
05/10/2016 14:56:55.6317, 215.68165027,  30.25889969,   4.43761788
05/10/2016 14:56:56.6317, 215.66730119,  30.26355158,   4.43738879
05/10/2016 14:56:57.6308, 215.65856928,  30.26503754,   4.43724939
05/10/2016 14:56:58.6308, 215.66203815,  30.26369681,   4.43730477
05/10/2016 14:56:59.6319, 215.64949817,  30.27043247,   4.43710457
05/10/2016 14:57:00.6320, 215.64403032,  30.27306516,   4.43701727
05/10/2016 14:57:01.6320, 215.63847501,  30.27556842,   4.43692858
05/10/2016 14:57:02.6311, 215.63682378,  30.28004251,   4.43690222
05/10/2016 14:57:03.6311, 215.63477147,  30.28294986,   4.43686945
05/10/2016 14:57:04.6312, 215.63213889,  30.28516265,   4.43682742
05/10/2016 14:57:05.6302, 215.63100180,  30.28979819,   4.43680927
05/10/2016 14:57:06.6303, 215.62562569,  30.28902299,   4.43672344
05/10/2016 14:57:07.6304, 215.62296537,  30.29288319,   4.43668096
05/10/2016 14:57:08.6304, 215.62141867,  30.29801941,   4.43665627
05/10/2016 14:57:09.6295, 215.61602550,  30.29651724,   4.43657017
05/10/2016 14:57:10.6285, 215.61571616,  30.30078098,   4.43656523
05/10/2016 14:57:11.6296, 215.61487348,  30.29900455,   4.43655178
05/10/2016 14:57:12.6296, 215.61158168,  30.30683776,   4.43649922
05/10/2016 14:57:13.6287, 215.60962324,  30.30733858,   4.43646795
05/10/2016 14:57:14.6298, 215.60743653,  30.31234523,   4.43643304
05/10/2016 14:57:15.6298, 215.60414046,  30.31583364,   4.43638042
05/10/2016 14:57:16.6299, 215.60343005,  30.31959670,   4.43636908
05/10/2016 14:57:17.6289, 215.59877076,  30.31418637,   4.43629469
05/10/2016 14:57:18.6290, 215.59822888,  30.31864411,   4.43628604
05/10/2016 14:57:19.6290, 215.59846142,  30.32090487,   4.43628975
05/10/2016 14:57:20.6291, 215.59484321,  30.32326262,   4.43623199
05/10/2016 14:57:21.6282, 215.59208049,  30.32505567,   4.43618788
05/10/2016 14:57:22.6282, 215.59139781,  30.32959393,   4.43617698
05/10/2016 14:57:23.6273, 215.58994498,  30.33503655,   4.43615379
05/10/2016 14:57:24.6273, 215.58723133,  30.33550453,   4.43611046
05/10/2016 14:57:25.6274, 215.58659985,  30.33518151,   4.43610038
05/10/2016 14:57:26.6274, 215.58582116,  30.33376067,   4.43608795
05/10/2016 14:57:27.6275, 215.58004185,  30.33988135,   4.43599568
05/10/2016 14:57:28.6266, 215.57872982,  30.34261063,   4.43597473
05/10/2016 14:57:29.6276, 215.58035972,  30.34298188,   4.43600076
05/10/2016 14:57:30.6277, 215.57595217,  30.34606675,   4.43593039
05/10/2016 14:57:31.6277, 215.57520762,  30.34404796,   4.43591850
05/10/2016 14:57:32.6268, 215.57493455,  30.34876360,   4.43591414
05/10/2016 14:57:33.6268, 215.57063793,  30.35062095,   4.43584555
05/10/2016 14:57:34.6269, 215.57158728,  30.35008771,   4.43586070
05/10/2016 14:57:35.6260, 215.56926617,  30.35123430,   4.43582364
05/10/2016 14:57:36.6250, 215.56818881,  30.35304274,   4.43580644
05/10/2016 14:57:37.6261, 215.56566716,  30.35422203,   4.43576619
05/10/2016 14:57:38.6261, 215.56323938,  30.34532356,   4.43572743
05/10/2016 14:57:39.6252, 215.56403726,  30.35275269,   4.43574016
05/10/2016 14:57:40.6252, 215.56127667,  30.36184461,   4.43569609
05/10/2016 14:57:41.6253, 215.56203402,  30.36303956,   4.43570818
05/10/2016 14:57:42.6254, 215.55857369,  30.36484827,   4.43565294
05/10/2016 14:57:43.6244, 215.55825155,  30.36919226,   4.43564779
05/10/2016 14:57:44.6245, 215.55588350,  30.36998340,   4.43560999
05/10/2016 14:57:45.6255, 215.55340238,  30.37030629,   4.43557038
05/10/2016 14:57:46.6246, 215.55298424,  30.37253530,   4.43556370
05/10/2016 14:57:47.6246, 215.54959644,  30.37242195,   4.43550961
05/10/2016 14:57:48.6247, 215.55008925,  30.37762179,   4.43551748
05/10/2016 14:57:49.6248, 215.54709826,  30.38046401,   4.43546973
05/10/2016 14:57:50.6228, 215.54674625,  30.37973731,   4.43546411
05/10/2016 14:57:51.6239, 215.54416487,  30.38193376,   4.43542290
05/10/2016 14:57:52.6239, 215.54392806,  30.38737542,   4.43541912
05/10/2016 14:57:53.6240, 215.54140641,  30.38508252,   4.43537886
05/10/2016 14:57:54.6230, 215.54225976,  30.38648714,   4.43539248
05/10/2016 14:57:55.6231, 215.53935410,  30.38669722,   4.43534609
05/10/2016 14:57:56.6232, 215.53550976,  30.38834449,   4.43528472
05/10/2016 14:57:57.6222, 215.53575510,  30.38871561,   4.43528863
05/10/2016 14:57:58.6223, 215.53613271,  30.38920007,   4.43529466
05/10/2016 14:57:59.6223, 215.53381586,  30.39218725,   4.43525767
05/10/2016 14:58:00.6234, 215.53325052,  30.39003999,   4.43524865
05/10/2016 14:58:01.6224, 215.52945951,  30.39104121,   4.43518812
05/10/2016 14:58:02.6225, 215.52946804,  30.39204230,   4.43518826
05/10/2016 14:58:03.6216, 215.52961524,  30.39469065,   4.43519061
05/10/2016 14:58:04.6226, 215.52660292,  30.39493261,   4.43514252
05/10/2016 14:58:05.6217, 215.52424340,  30.39133208,   4.43510485
05/10/2016 14:58:06.6217, 215.52420500,  30.38970075,   4.43510423
05/10/2016 14:58:07.6218, 215.52247057,  30.39107323,   4.43507654
05/10/2016 14:58:08.6218, 215.52323005,  30.38815062,   4.43508867
05/10/2016 14:58:09.6209, 215.51944331,  30.39060525,   4.43502821
05/10/2016 14:58:10.6210, 215.51608751,  30.38800539,   4.43497464
05/10/2016 14:58:11.6210, 215.51683632,  30.39199366,   4.43498659
05/10/2016 14:58:12.6211, 215.51587630,  30.38829585,   4.43497126
05/10/2016 14:58:13.6201, 215.51496535,  30.38868318,   4.43495672
05/10/2016 14:58:14.6202, 215.51352532,  30.38973304,   4.43493373
05/10/2016 14:58:15.6212, 215.51216210,  30.38642297,   4.43491197
05/10/2016 14:58:16.6203, 215.51080314,  30.17758601,   4.43489027
05/10/2016 14:58:17.6194, 215.51258024,  30.31812641,   4.43491864
05/10/2016 14:58:18.6204, 215.51418880,  30.36415359,   4.43494432
05/10/2016 14:58:19.6205, 215.51512535,  30.37594237,   4.43495928
05/10/2016 14:58:20.6195, 215.51490988,  30.38143281,   4.43495584
05/10/2016 14:58:21.6196, 215.51292158,  30.38057709,   4.43492409
05/10/2016 14:58:22.6196, 215.51527042,  30.37833241,   4.43496159
05/10/2016 14:58:23.6187, 215.51677872,  30.38023785,   4.43498567
05/10/2016 14:58:24.6188, 215.51585497,  30.38090011,   4.43497092
05/10/2016 14:58:25.6188, 215.51542616,  30.38122286,   4.43496408
05/10/2016 14:58:26.6189, 215.51461121,  30.38022191,   4.43495107
05/10/2016 14:58:27.6179, 215.51603417,  30.37999589,   4.43497378
05/10/2016 14:58:28.6180, 215.51309011,  30.37986646,   4.43492678
05/10/2016 14:58:29.6180, 215.51330772,  30.37629781,   4.43493026
05/10/2016 14:58:30.6171, 215.50931831,  30.37542561,   4.43486656
05/10/2016 14:58:31.6182, 215.50924790,  30.37436022,   4.43486544
05/10/2016 14:58:32.6182, 215.50924790,  30.37440845,   4.43486544
05/10/2016 14:58:33.6183, 215.50536729,  30.37151786,   4.43480349
05/10/2016 14:58:34.6173, 215.50831135,  30.37098476,   4.43485049
05/10/2016 14:58:35.6174, 215.50338965,  30.37342303,   4.43477191
05/10/2016 14:58:36.6174, 215.50284991,  30.37303584,   4.43476330
05/10/2016 14:58:37.6175, 215.50321045,  30.36888531,   4.43476905
05/10/2016 14:58:38.6166, 215.50163175,  30.36455740,   4.43474385
05/10/2016 14:58:39.6166, 215.50042640,  30.36641448,   4.43472460
05/10/2016 14:58:40.6157, 215.49966265,  30.36778722,   4.43471241
05/10/2016 14:58:41.6157, 215.49697459,  30.36563928,   4.43466949
05/10/2016 14:58:42.6148, 215.49697673,  30.36559105,   4.43466953
05/10/2016 14:58:43.6138, 215.49465348,  30.36444446,   4.43463244
05/10/2016 14:58:44.6149, 215.49352706,  30.36174774,   4.43461445
